Save,Speichern
"Edit '%1'","Bearbeiten '%1'"
"New Ship Area","Neues Liefergebiet"
"Ship Area Information","Informationen zum Liefergebiet"
Address,Adresse
"Ship Area Address","Liefergebiet Adresse"
"Address Type","Adress-Typ"
--select--,--wählen--
City,Stadt
State,Kanton
Country,Land
Latitude,Breitengrad
Longitude,Längengrad
"Ship Area Info","Liefergebiet Info"
"Add Ship Rate","Lieferkosten hinzufügen"
"Ship Rate Information","Informatin zu Lieferkosten"
"Ship Rate","Lieferkosten"
"Ship Rate Info","Lieferkosten Info"
"Your shipping rate has been successfully updated","Ihre Liefergebühren wurden erfolgreich aktualisiert"
"Please upload Csv file","Bitte CSV-Datei hochladen"
"Add Shipping Rate","Lieferkosten hinzufügen"
"Add Shipping Area","Liefergebiet hinzufügen"
"Ship area removed successfully.","Liefergebiet erfolgreich entfernt."
"Not permitted.","Nicht erlaubt."
"Ship rate removed successfully.","Lieferkosten erfolgreich entfernt."
"Ship area deleted successfully.","Liefergebiet erfolgreich entfernt."
"Invalid request.","Ungültige Anfrage."
"Ship rate deleted successfully.","Lieferkosten erfolgreich entfernt."
"Your shipping origin has been successfully saved.","Ihre Versandherkunft wurde erfolgreich gespeichert."
"Invalid seller","Ungültiger Verkäufer"
"Add Shipping Origin","Versandherkunft hinzufügen"
"Ship area saved successfully.","Liefergebiet erfolgreich gespeichert."
"Ship area already exist.","Liefergebiet existiert bereits."
"Address has to be completed","Adresse muss komplett sein"
"Address Type has to be completed","Adress-Typ muss komplett sein"
"Latitude should contain only decimal numbers","Breitengrad darf nur Dezimalzahlen beinhalten"
"Longitude should contain only decimal numbers","Längengrad darf nur Dezimalzahlen beinhalten"
"Address Not found.","Adresse nicht gefunden."
Lists,Listen
"Manage Info","Info bearbeiten"
"This ship area no longer exists.","Das Liefergebiet existiert nicht mehr."
"Edit Ship Area","Liefergebiet bearbeiten"
"Edit info","Info bearbeiten"
"New Info","Neue Info"
"Hyper Local Shipping Area","Liefergebiet"
"A total of %1 record(s) have been deleted.","Total wurden %1 Einträge entfernt."
"You edited the ship area details successfully.","Sie haben die Liefergebietsinformationen erfolgreich bearbeitet."
"You saved the ship area details successfully.","Sie haben die Liefergebietsinformationen erfolgreich gespeichert."
"New Ship Rate","Neue Lieferkosten"
"Hyper Local Shipping Rate","Lieferkosten"
"Please upload CSV file","Bitte CSV-Datei hochladen"
"Item Id Not found.","Item Id nicht gefunden."
"Address Set","Adresse gespeichert"
"Fill Correct Address.","Korrekte Adresse einfügen."
"Edit Outlet %1","Edit Outlet %1"
"This outlet no longer exists.","This outlet no longer exists."
"Add New outlet","Add New outlet"
"Outlet List","Outlet List"
"A total of %1 outlet(s) were disabled.","A total of %1 outlet(s) were disabled."
"A total of %1 outlet(s) were enabled.","A total of %1 outlet(s) were enabled."
"Code is already exist!","Code is already exist!"
"Could not save Outlet.","Could not save Outlet."
"The Outlet has been saved.","The Outlet has been saved."
"Could not save Source.","Could not save Source."
"Please set your location.","Please set your location."
". ' is invalid'",". ' is invalid'"
Distance,Distance
"City, State/Province & Country","City, State/Province & Country"
kilometer,kilometer
Mile,Mile
"Via Popup","Via Popup"
"Via Page Redirect","Via Page Redirect"
Enabled,Enabled
Disabled,Disabled
"Please select your location!","Please select your location!"
"At a time you can add only one store's product in the cart","At a time you can add only one store's product in the cart"
