"Create Account","Account erstellen"
"Services Agreement","Dienstleistungsvereinbarung"
"Connected Account Agreement","Vereinbarung über ein verbundenes Konto"
"certify that the information you have provided is complete and correct","bestätigen, dass die von Ihnen gemachten Angaben vollständig und richtig sind"
"By creating account, you agree to our %1, %2, and %3","Wenn Sie einen Account erstellen, stimmen Sie mit %1, %2, und %3 überein"
"Grand Total","Gesamtbetrag"
"Generate Webhooks","Generate Webhooks"
"Please remove the previous connection and reauthorize using the Stripe system","Bitte entfernen Sie die vorherige Verbindung und autorisieren Sie sich erneut über das Stripe-System"
"Order captured successfully, invoices will be generated automatically","Bestellung erfolgreich erfasst, Rechnungen werden automatisch erstellt"
"There was an error capturing the transaction","Es ist ein Fehler bei der Erfassung der Transaktion aufgetreten"
"The order has already been captured successfully","Der Auftrag ist bereits erfolgreich erfasst worden"
"Manage Stripe Custom Account","Stripe Account verwalten"
"You have successfully updated connected account on stripe","Sie haben Ihr verbundenes Konto auf Stripe erfolgreich aktualisiert"
"There some error, not able connect you with stripe, please contact admin","Ein Fehler ist aufgetreten, Verbindung zu Stripe nicht möglich. Bitte Locorum kontaktieren."
"More Information Required, Please Connect To Stripe","Mehr Informationen benötigt, bitte mit Stripe verbinden"
"You are successfully connected to stripe","Sie sind erfolgreich mit Stripe verbunden"
"WebHooks Generated Successfully","WebHooks Generated Successfully"
"Invalid Request Check Credentials","Ungültige Anfrage Anmeldeinformationen prüfen"
"WebHooks Already Generated","WebHooks Already Generated"
"Cards successfully deleted","Karte erfolgreich entfernt"
"Not able to delete the cards","Die Karten können nicht gelöscht werden"
"Saved Cards","Gespeicherte Karten"
message,mitteilung
"Order cancelled because stripe payment failed","Bestellung storniert, Stripe Bezahlung fehlgeschlagen"
"There was an error capturing the transaction, order has been cancelled","Es ist ein Fehler bei der Erfassung der Transaktion aufgetreten, die Bestellung wurde storniert"
"Stripe credentials saved successfully.","Stripe Anmeldeinformationen erfolgreich gespeichert."
"Something went wrong!","Etwas ist schiefgelaufen!"
"There was an error capturing the transaction: %1","Es ist ein Fehler bei der Erfassung der Transaktion aufgetreten: %1"
"There was an error capturing the transaction: Please contact admin","Es ist ein Fehler bei der Erfassung der Transaktion aufgetreten: Bitte Locorum kontaktieren"
"Something went wrong while saving the file(s).","Beim Speichern der Datei(en) ist ein Fehler aufgetreten."
"File can not be saved to the destination folder.","Die Datei kann nicht im Zielordner gespeichert werden."
"Maximum shipping amount allowed to refund is: %1","Der maximal zu erstattende Versandbetrag beträgt: %1"
"Notified customer about invoice #%1.","Benachrichtigung des Kunden über die Rechnung #%1."
"The authorized amount is %1.","Der genehmigte Betrag beträgt %1."
"There is nothing to refund.","Es gibt nichts zu erstatten."
"payment refund error, please contact admin","Fehler bei der Zahlungserstattung, Bitte Locorum kontaktieren"
"Refund amount by seller($' . . ') is more than seller commission($' . . ')","Erstattungsbetrag durch den Verkäufer($' . . ') ist mehr als die Verkäuferprovision($' . . ')"
"Please Select","Bitte wählen"
Individual,Einzelperson
Company,Firma
